LoanID,loan_amnt,funded_amnt,funded_amnt_inv,sub_grade,term,emp_length,int_rate,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,Output
LoanID37386430,7200,7200,7200.0,15,36,0,11.99,35000.0,17.22,0,0,26,70,11,0,5846,21.3,16,844.12,0.0,0.0,0.0,0,44,61,0,0,23744.0,27500,0
LoanID3863395,20000,20000,19850.0,14,36,10,13.11,50000.0,19.63,0,1,31,70,14,0,9426,20.5,21,4284.67,0.0,0.0,0.0,1,44,156,0,168,105315.0,46000,0
LoanID61824645,5000,5000,5000.0,13,36,10,9.99,70000.0,20.58,1,0,11,70,12,0,21522,85.1,26,154.94,0.0,0.0,0.0,0,44,22,0,0,31458.0,25300,0
LoanID53876533,16850,16850,16850.0,14,36,10,10.99,44200.0,20.93,0,0,29,70,4,0,8390,77.7,9,992.36,0.0,0.0,0.0,0,44,31,0,0,14203.0,10800,0
LoanID1406917,10000,10000,9750.0,14,36,10,13.11,72000.0,5.17,0,0,31,70,9,0,11220,58.7,19,2150.42,0.0,0.0,0.0,0,44,156,0,0,80669.5,23700,1
LoanID41782049,13000,13000,13000.0,21,60,1,12.39,42000.0,10.49,0,1,31,70,6,0,5202,65.0,8,1490.62,0.0,0.0,0.0,0,44,52,0,221,8328.0,8000,0
LoanID44183243,7000,7000,7000.0,5,36,3,7.89,75735.12,17.7,2,2,3,70,4,0,5179,65.6,21,405.09,0.0,0.0,0.0,0,3,43,0,0,24353.0,7900,0
LoanID60254094,18000,18000,18000.0,12,60,10,9.17,113000.0,15.89,1,0,16,70,16,0,19729,42.5,51,660.28,0.0,0.0,0.0,0,44,22,0,105,697738.0,46400,0
LoanID42363831,25000,25000,25000.0,44,60,1,20.99,130000.0,7.43,0,1,31,70,5,0,31254,46.2,14,1890.72,0.0,0.0,0.0,0,44,17,0,0,31254.0,67700,1
LoanID3117211,10000,10000,10000.0,14,36,2,13.11,90000.0,12.49,0,1,58,70,8,0,10383,76.9,17,1735.64,0.0,0.0,0.0,0,44,91,0,0,324254.0,13507,0
LoanID35974815,21600,21600,21600.0,14,36,8,11.44,95000.0,25.24,0,0,52,70,18,0,23451,39.0,48,1695.09,0.0,0.0,0.0,0,44,39,0,0,253332.0,60100,1
LoanID45351212,30000,30000,30000.0,22,60,10,12.69,140000.0,15.83,0,0,31,117,12,1,14960,45.2,21,2695.7,0.0,0.0,0.0,0,44,39,0,0,66287.0,33100,0
LoanID26297209,26125,26125,26125.0,23,60,0,13.98,57000.0,23.85,0,2,31,70,10,0,6900,22.2,24,4672.26,0.0,0.0,0.0,0,44,74,0,0,34248.0,31100,0
LoanID49979978,7000,7000,7000.0,5,36,3,7.89,42640.0,18.54,0,0,31,70,11,0,6860,45.1,14,329.79,0.0,0.0,0.0,0,44,35,0,0,15736.0,15200,0
LoanID31217963,8000,8000,8000.0,34,36,10,17.57,33072.0,32.47,0,3,31,86,15,1,8016,41.1,21,1477.71,0.0,0.0,0.0,0,44,65,0,518,32296.0,19500,0
LoanID6717229,20000,20000,20000.0,12,36,3,11.14,65000.0,11.58,0,0,31,86,14,1,13646,36.0,38,3530.18,0.0,0.0,0.0,0,44,135,0,0,31773.0,37900,0
LoanID44337008,16000,16000,16000.0,21,36,9,12.29,97000.0,9.08,1,0,12,70,13,0,26248,77.9,18,1441.65,0.0,0.0,0.0,0,44,43,0,0,491917.0,33700,0
LoanID8617609,8000,8000,8000.0,25,36,0,16.78,68750.0,22.97,0,2,31,94,13,1,12365,55.0,26,1898.48,0.0,0.0,0.0,0,44,95,0,0,127882.0,22500,1
LoanID64517866,2800,2800,2750.0,33,36,5,16.99,56000.0,21.62,0,0,31,38,8,1,7224,96.3,24,113.72,0.0,0.0,0.0,0,44,13,0,0,27519.0,7500,0
LoanID46726889,11625,11625,11625.0,32,36,10,16.55,58000.0,20.46,0,0,51,70,14,0,6834,53.0,26,1303.27,0.0,0.0,0.0,0,44,39,0,0,128115.0,12900,0
LoanID28672486,12950,12950,12950.0,34,36,10,17.57,166000.0,16.27,0,3,31,70,16,0,39447,68.5,29,1400.44,0.0,0.0,0.0,0,44,35,0,0,336159.0,57600,0
LoanID15061036,24000,24000,23950.0,33,60,10,18.25,110000.0,11.96,5,1,6,70,11,0,18389,47.4,34,6796.16,0.0,0.0,0.0,0,10,91,0,0,303569.0,38800,0
LoanID58993845,19675,19675,19675.0,12,60,10,9.17,74000.0,22.2,0,0,31,70,13,0,35263,52.9,24,851.98,0.0,0.0,0.0,0,44,26,0,0,137534.0,95900,0
LoanID39003126,35000,35000,35000.0,24,36,6,14.31,104000.0,17.13,1,2,8,70,26,0,40723,68.3,38,4635.84,0.0,0.0,0.0,0,44,57,0,0,132687.0,59600,0
LoanID532287,18000,18000,17045.56136,53,36,3,18.78,80000.0,15.6,0,0,31,70,4,0,11184,93.2,8,5769.41,0.0,0.0,0.0,0,44,161,0,0,80669.5,23700,1
LoanID19595519,5275,5275,5275.0,13,36,4,10.99,36000.0,18.53,0,1,27,70,7,0,5276,67.6,32,712.63,0.0,0.0,0.0,0,56,83,0,0,57534.0,7800,0
LoanID1355282,15000,15000,15000.0,21,36,4,13.49,75000.0,8.75,0,0,31,70,7,0,13305,88.7,14,2886.33,0.0,0.0,0.0,0,44,104,0,0,80669.5,23700,1
LoanID8127741,8000,8000,8000.0,33,36,1,18.85,30000.0,22.4,0,1,31,70,9,0,7884,52.9,19,2357.44,0.0,0.0,0.0,0,44,117,0,0,29284.0,14900,1
LoanID15710223,35000,35000,35000.0,44,60,10,21.99,90000.0,17.14,0,0,31,70,10,0,33164,88.4,11,10013.94,0.0,0.0,0.0,0,44,74,0,0,49328.0,37500,0
LoanID59620231,15000,15000,15000.0,31,36,10,15.61,78402.16,24.6,0,0,31,58,19,1,6183,50.3,36,938.72,0.0,0.0,0.0,0,44,26,0,141,43998.0,12300,0
LoanID51884624,12000,12000,12000.0,11,36,10,8.18,45000.0,20.59,0,3,31,106,15,1,12139,26.4,21,591.82,0.0,0.0,0.0,0,44,35,0,0,18955.0,46000,0
LoanID43163125,7000,7000,7000.0,1,36,6,6.03,33000.0,6.55,0,0,31,70,10,0,4161,10.0,12,120.19,0.0,0.0,0.0,0,44,35,0,0,4161.0,41600,1
LoanID7947406,19200,19200,19200.0,12,36,4,10.64,50000.0,24.84,0,1,74,70,12,0,9368,34.7,17,2633.47,0.0,0.0,0.0,0,44,91,0,0,44318.0,27000,1
LoanID9889290,9750,9750,9725.0,14,36,2,12.99,30000.0,20.2,0,0,31,70,7,0,8012,66.8,14,1887.02,0.0,0.0,0.0,0,44,113,0,0,9687.0,12000,0
LoanID23052420,12000,12000,12000.0,24,60,10,14.49,57000.0,26.59,0,0,31,77,10,1,6182,33.2,39,2337.28,0.0,0.0,0.0,0,44,78,0,0,217361.0,18600,1
LoanID64876377,20000,20000,20000.0,23,60,10,13.33,125000.0,19.77,0,0,31,107,12,1,11463,57.6,20,628.98,0.0,0.0,0.0,0,44,13,0,0,51448.0,19900,0
LoanID33509596,30000,30000,30000.0,12,36,5,10.15,150000.0,7.71,0,1,31,70,6,0,11709,40.8,13,3129.17,0.0,0.0,0.0,0,44,65,0,5674,15567.0,28700,0
LoanID45330307,11950,11950,11950.0,45,60,2,21.67,29900.0,15.42,0,1,31,70,7,0,10979,96.3,9,1936.71,0.0,0.0,0.0,0,44,44,0,0,11346.0,11400,0
LoanID42384204,10000,10000,10000.0,1,36,0,6.03,45000.0,3.61,0,1,31,70,14,0,1590,3.4,38,507.53,0.0,0.0,0.0,0,44,52,0,0,76398.0,46100,0
LoanID1831477,12000,12000,12000.0,32,36,10,18.49,106000.0,20.51,1,1,22,70,21,0,22177,85.2,41,1945.46,0.0,0.0,0.0,0,26,52,0,0,41374.0,26000,1
LoanID61974479,5300,5300,5300.0,22,36,2,12.69,34000.0,10.66,0,1,31,70,3,0,6003,103.5,4,263.49,0.0,0.0,0.0,0,44,22,0,0,11900.0,5800,0
